,en,es,ca
SCENE_EDITOR_HINT_VIEW_CODE,View code,Ver codigo,Veure codi
SCENE_EDITOR_HINT_ADD_LINE,Add new line,Añadir nueva linea,Afegir nova linea
SCENE_EDITOR_TEXT_LINE,Dialogue line,Linea de dialogo,Linea de dialeg
SCENE_EDITOR_BACKGROUND_CHANGE_LINE,Background change,Cambio de fondo,Canvi de fons
SCENE_EDITOR_NARRATOR,Narrator,Narrador,Narrador
SCENE_EDITOR_HINT_RUN_SCENE,Run,Ejecutar,Executar
SCENE_EDITOR_TRANSLATION_VIEW,Toggle translation view,Alternar vista de traducción,Alternar vista de traducció
SCENE_EDITOR_CHARACTER_LAYER_VISIBLE,Show,Mostrar,Mostrar
SCENE_EDITOR_CHARACTER_VISIBILITY_CHANGE,Show/Hide character,Mostrar/Ocultar personaje,Mostrar/Ocultar personatge
SCENE_EDITOR_RUN_MINIGAME,Run minigame,Ejecutar minijuego,Executar minijoc
SCENE_EDITOR_SELECT_FILE,Select file...,Seleccionar archivo...,Seleccionar arxiu...
EDITOR_FILE,File,Archivo,Arxiu
EDITOR_NEW_FILE,New,Nuevo,Nou
EDITOR_OPEN_FILE,Open,Abrir,Obrir
EDITOR_OPEN_CHARACTER,Open character...,Abrir personaje...,Obrir personatge...
EDITOR_SAVE_FILE,Save,Guardar,Desa
EDITOR_SAVE_FILE_AS,Save as...,Guardar como...,Anomena i desa
EDITOR_CHECK_FILE,Check file,Comprobar fichero,Comprovar arxiu
EDITOR_UNTITLED,Untitled,Sín Título,Sense Titol
EDITOR_CANCEL,Cancel,Cancelar,Cancel·lar
EDITOR_CHARACTER_NAME,Name,Nombre,Nom
EDITOR_HINT_BUTTON_UP,Up,Arriba,Amunt
EDITOR_HINT_BUTTON_DOWN,Down,Abajo,Asota
EDITOR_HINT_BUTTON_DELETE,Delete,Borrar,Esborrar
EDITOR_HINT_BUTTON_EDIT,Edit,Editar,Editar
EDITOR_HELP,Help,Ayuda,Ajuda
EDITOR_ABOUT,About,Acerca de,Quant a
EDITOR_ABOUT_TEXT,"EIREXEMonogatari, a free VN framework built in the Godot Engine and released under the GPLv3 license.\n\nOriginally developed by Alex R. (EIREXE) with input from Estrella R. (Kami) for use in My Sugar Sister.","EIREXEMonogatari, un framework de novelas visuales hecho en Godot Engine disponible bajo la licencia GPLv3.\n\nDesarrollado orginalmente por Alex R. (EIREXE) con ayuda de Estrella R. (Kami) para ser utilizado en My Sugar Sister.","EIREXEMonogatari, un framework de novel·les visuals fet en Godot Engine disponible sota la llicència GPLv3.\n\nDesenvolupat orginalment per Alex R. (EIREXE) amb l'ajuda de Estrella R. (Kami) per ser utilizat en My Sugar Sister."
EDITOR_SOURCE_CODE,Source code,Codigo fuente,Codi font
CHARACTER_EDITOR_ADD_GRAPHICS_LAYER,Add new graphics layer,Añadir nueva capa de graficos,Afegir nova capa de grafics
CHARACTER_EDITOR_GRAPHIC_LAYER_EDITOR_TITLE,Graphic layers,Capas de graficos,Capes de grafics
CHARACTER_EDITOR_OPEN_GRAPHICS_DIRECTORY,Open graphics directory,Abrir directorio de graficos,Obrir directori de gràfics
CHARACTER_EDITOR_LAYER_INTERNAL_NAME,Layer internal name,Nombre interno de la capa,Nom intern de la capa
CHARACTER_EDITOR_LAYER_NAME,Layer name,Nombre de la capa,Nom de la capa
TOOLS_WINDOW_TITLE,Development tools,Herramientas de desarrollo,Eines de desenvolupament
TOOLS_WINDOW_RUN_MAIN_SCENE,Run main scene,Ejecutar escena principal,Executar escena principal
TOOLS_WINDOW_RELOAD_GAME,Reload game data,Recargar datos del juego,Recarregar dades del joc
TOOLS_WINDOW_JSON_EDITOR,Game data editor,Editor de datos del juego,Editor de dades del joc
TOOLS_WINDOW_TRANSLATION_REPORT,Translation report,Estadisticas de traducción,Estadistiques de traducció
TOOLS_WINDOW_TRANSLATION_REPORT_TEXT,Scene {path} needs translation for:,A la escena {path} le faltan por traducir:,A l'escena {path} li falten per traduïr:
TOOLS_WINDOW_TRANSLATION_REPORT_LINE_TEXT,{n} lines in {locale},{n} lineas en {locale},{n} linies en {locale}
TRANSLATION_GRID_CHARACTER,Character,Personaje,Personatge
GAME_WINDOW_DEBUG_HINT,Press F10 to open developer tools,Pulsa F10 para abrir las herramientas de desarrollo,Prem F10 per obrir les eines de desenvolupament
